metric,value
mode_count,12
axial_nodes,193
poisson_relaxation_modes,3
automatic_distortion_modes,0
independent_shear_modes,2
independent_axial_warping_modes,3
shear_free_distortion_modes,0
transverse_corrector_modes,0
refinement_iterations,1
algebraic_relative_residual,2.4793546214357105e-10
dof_count,1188
section_basis_size,12
recovered_local_dofs,79680
active_axial_dofs,1188
constraint_count,6
strain_energy,9.0701761295448053e-05
equilibrium_relative_residual,1.216234513723804e-10
constraint_maximum_error,4.838940493601187e-29
external_work,0.00018140352259089358
global_constraint_count,0
global_system_size,1188
local_system_size,79686
section_preprocessing_seconds,0.47298879599999999
assembly_seconds,1.4334084919999999
condensation_seconds,3.2097247750000002
solve_and_refinement_seconds,0.22476851000000053
field_recovery_seconds,0.36048888299999948
width_line_count,0
seed_mode_count,12
selected_refinement_iteration,1
last_refinement_relative_residual,1.216234513723804e-10
width_enrichment_modes,0
solid_displacement_dofs,79680
solid_elements,5120
modal_elements,32
solid_lower_interface,0.025000000000000001
solid_upper_interface,0.19375000000000001
