step,frame,time,node,r,z,temperature,ur,uz
LOAD_FIXED_T,0,0.0,1,0.004,0.0,600.0,0.0,0.0
LOAD_FIXED_T,0,0.0,2,0.005,0.0,650.0,0.0,0.0
LOAD_FIXED_T,0,0.0,3,0.005,0.01,700.0,0.0,0.0
LOAD_FIXED_T,0,0.0,4,0.004,0.01,750.0,0.0,0.0
LOAD_FIXED_T,1,0.20000000298023224,1,0.004,0.0,600.0,5.7998633604734577e-34,1.4660765716752331e-34
LOAD_FIXED_T,1,0.20000000298023224,2,0.005,0.0,650.0,-7.2498292005918228e-34,1.5788516925733289e-34
LOAD_FIXED_T,1,0.20000000298023224,3,0.005,0.01,700.0,-7.2498292005918228e-34,8.0000000000000007e-05
LOAD_FIXED_T,1,0.20000000298023224,4,0.004,0.01,750.0,5.7998633604734569e-34,8.0000000000000007e-05
LOAD_FIXED_T,2,0.4000000059604645,1,0.004,0.0,600.0,3.4211388289180104e-49,4.276423536147513e-50
LOAD_FIXED_T,2,0.4000000059604645,2,0.005,0.0,650.0,-3.4211388289180104e-49,4.276423536147513e-50
LOAD_FIXED_T,2,0.4000000059604645,3,0.005,0.01,700.0,-3.4211388289180104e-49,0.00016000000000000004
LOAD_FIXED_T,2,0.4000000059604645,4,0.004,0.01,750.0,3.4211388289180104e-49,0.00016000000000000004
LOAD_FIXED_T,3,0.6000000238418579,1,0.004,0.0,600.0,-8.5528470722950261e-50,-2.1382117680737565e-50
LOAD_FIXED_T,3,0.6000000238418579,2,0.005,0.0,650.0,1.7105694144590052e-49,-2.1382117680737565e-50
LOAD_FIXED_T,3,0.6000000238418579,3,0.005,0.01,700.0,1.7105694144590052e-49,0.00024000000000000006
LOAD_FIXED_T,3,0.6000000238418579,4,0.004,0.01,750.0,-1.7105694144590052e-49,0.00024000000000000006
LOAD_FIXED_T,4,0.800000011920929,1,0.004,0.0,600.0,-1.1262222622018285e-48,-1.2610984363379197e-49
LOAD_FIXED_T,4,0.800000011920929,2,0.005,0.0,650.0,1.4064657480978673e-48,-1.3582923727281317e-49
LOAD_FIXED_T,4,0.800000011920929,3,0.005,0.01,700.0,1.395969110862516e-48,0.00031999999999999997
LOAD_FIXED_T,4,0.800000011920929,4,0.004,0.01,750.0,-1.1157256249664775e-48,0.00031999999999999997
LOAD_FIXED_T,5,1.0,1,0.004,0.0,600.0,9.8544447942660044e-49,1.1034611317956785e-49
LOAD_FIXED_T,5,1.0,2,0.005,0.0,650.0,-1.2306575295856342e-48,1.1885058261371141e-49
LOAD_FIXED_T,5,1.0,3,0.005,0.01,700.0,-1.2214729720047017e-48,0.00039999999999999996
LOAD_FIXED_T,5,1.0,4,0.004,0.01,750.0,9.7625992184566822e-49,0.00039999999999999996
LOAD_SWAPPED_T,0,1.0,1,0.004,0.0,600.0,9.8544447942660044e-49,1.1034611317956785e-49
LOAD_SWAPPED_T,0,1.0,2,0.005,0.0,650.0,-1.2306575295856342e-48,1.1885058261371141e-49
LOAD_SWAPPED_T,0,1.0,3,0.005,0.01,700.0,-1.2214729720047017e-48,0.00039999999999999996
LOAD_SWAPPED_T,0,1.0,4,0.004,0.01,750.0,9.7625992184566822e-49,0.00039999999999999996
LOAD_SWAPPED_T,1,1.2000000029802322,1,0.004,0.0,630.0,5.7998633604734654e-34,1.4660765716752342e-34
LOAD_SWAPPED_T,1,1.2000000029802322,2,0.005,0.0,660.0,-7.2498292005918322e-34,1.5788516925733319e-34
LOAD_SWAPPED_T,1,1.2000000029802322,3,0.005,0.01,690.0,-7.2498292005918313e-34,0.00048000000000000007
LOAD_SWAPPED_T,1,1.2000000029802322,4,0.004,0.01,720.0,5.7998633604734637e-34,0.00048000000000000007
LOAD_SWAPPED_T,2,1.4000000059604645,1,0.004,0.0,660.0,-1.1973985901213036e-48,-1.4967482376516296e-49
LOAD_SWAPPED_T,2,1.4000000059604645,2,0.005,0.0,670.0,1.3684555315672042e-48,-1.2829270608442539e-49
LOAD_SWAPPED_T,2,1.4000000059604645,3,0.005,0.01,680.0,1.1973985901213036e-48,0.00056000000000000006
LOAD_SWAPPED_T,2,1.4000000059604645,4,0.004,0.01,690.0,-9.4081317795245287e-49,0.00056000000000000006
LOAD_SWAPPED_T,3,1.600000023841858,1,0.004,0.0,690.0,-8.5528470722950261e-50,-2.1382117680737565e-50
LOAD_SWAPPED_T,3,1.600000023841858,2,0.005,0.0,680.0,0.0,0.0
LOAD_SWAPPED_T,3,1.600000023841858,3,0.005,0.01,670.0,8.5528470722950261e-50,0.00064000000000000005
LOAD_SWAPPED_T,3,1.600000023841858,4,0.004,0.01,660.0,-8.5528470722950261e-50,0.00064000000000000005
LOAD_SWAPPED_T,4,1.800000011920929,1,0.004,0.0,720.0,0.0,0.0
LOAD_SWAPPED_T,4,1.800000011920929,2,0.005,0.0,690.0,0.0,0.0
LOAD_SWAPPED_T,4,1.800000011920929,3,0.005,0.01,660.0,0.0,0.00072000000000000005
LOAD_SWAPPED_T,4,1.800000011920929,4,0.004,0.01,630.0,0.0,0.00072000000000000005
LOAD_SWAPPED_T,5,2.0,1,0.004,0.0,750.0,-9.7946048760228494e-49,-1.0994503013980569e-49
LOAD_SWAPPED_T,5,2.0,2,0.005,0.0,700.0,1.2249846501385503e-48,-1.186916633744569e-49
LOAD_SWAPPED_T,5,2.0,3,0.005,0.01,650.0,1.2302569752241024e-48,0.00079999999999999993
LOAD_SWAPPED_T,5,2.0,4,0.004,0.01,600.0,-9.847328126878371e-49,0.00079999999999999993
