type	geometry	material	step	element	node	rule	prediction	measured_ratio	relative_error
C3D8T	regular	CONSTANT	HOLD_A	2	2	fixed_initial_mass	1.0	1.030359933504564	0.029465366924061764
C3D8T	regular	CONSTANT	HOLD_A	2	2	global_volume_ratio	1.3838876458333342	1.030359933504564	0.343110888567179
C3D8T	regular	CONSTANT	HOLD_A	2	2	local_volume_ratio	1.343110888567178	1.030359933504564	0.30353563341584344
C3D8T	regular	CONSTANT	HOLD_A	2	2	global_over_local	1.0303599335045646	1.030359933504564	6.661338147750939e-16
C3D8T	regular	CONSTANT	HOLD_A	2	2	current_rows_over_initial_rows	1.3609418287037043	1.030359933504564	0.320841178358646
C3D8T	regular	CONSTANT	HOLD_A	2	2	rows_over_local	1.0132758510770083	1.030359933504564	0.01658069367026671
C3D8T	regular	CONSTANT	HOLD_A	2	2	rows_over_global	0.9834193063297326	1.030359933504564	0.04555750437147932
C3D8T	regular	CONSTANT	HOLD_A	2	2	integrated_density	1.0	1.030359933504564	0.029465366924061764
C3D8T	regular	CONSTANT	HOLD_A	2	2	rows_over_mean_f_current_density	0.983485846402526	1.030359933504564	0.045492924926345935
C3D8T	regular	CONSTANT	HOLD_A	2	2	rows_over_center_current_density	0.983485846402527	1.030359933504564	0.045492924926344935
C3D8T	regular	CONSTANT	HOLD_A	2	2	fixed_initial_mass_current_density	1.0	1.030359933504564	0.029465366924061764
C3D8T	regular	CONSTANT	HOLD_A	2	2	global_volume_ratio_current_density	1.3838876458333342	1.030359933504564	0.343110888567179
C3D8T	regular	CONSTANT	HOLD_A	2	2	local_volume_ratio_current_density	1.343110888567178	1.030359933504564	0.30353563341584344
C3D8T	regular	CONSTANT	HOLD_A	2	2	global_over_local_current_density	1.0303599335045646	1.030359933504564	6.661338147750939e-16
C3D8T	regular	CONSTANT	HOLD_A	2	2	current_rows_over_initial_rows_current_density	1.3609418287037043	1.030359933504564	0.320841178358646
C3D8T	regular	CONSTANT	HOLD_A	2	2	rows_over_local_current_density	1.0132758510770083	1.030359933504564	0.01658069367026671
C3D8T	regular	CONSTANT	HOLD_A	2	2	rows_over_global_current_density	0.9834193063297326	1.030359933504564	0.04555750437147932
C3D8T	regular	CONSTANT	HOLD_A	2	2	integrated_density_current_density	1.0	1.030359933504564	0.029465366924061764
C3D8T	regular	CONSTANT	DEFORM_B	2	2	rows_over_mean_f	0.9270947816851847	1.1544711299394825	0.19695282312188866
C3D8T	regular	CONSTANT	DEFORM_B	2	2	rows_over_center	0.9270947816851853	1.1544711299394825	0.1969528231218881
C3D8T	regular	CONSTANT	DEFORM_B	2	2	fixed_initial_mass	1.0	1.1544711299394825	0.13380250569590246
C3D8T	regular	CONSTANT	DEFORM_B	2	2	global_volume_ratio	1.209877666666667	1.1544711299394825	0.0479930032811553
C3D8T	regular	CONSTANT	DEFORM_B	2	2	local_volume_ratio	1.0479930032811557	1.1544711299394825	0.09223108650963696
C3D8T	regular	CONSTANT	DEFORM_B	2	2	global_over_local	1.154471129939482	1.1544711299394825	3.3306690738754696e-16
C3D8T	regular	CONSTANT	DEFORM_B	2	2	current_rows_over_initial_rows	1.120888185185185	1.1544711299394825	0.02908946259752543
C3D8T	regular	CONSTANT	DEFORM_B	2	2	rows_over_local	1.0695569356625494	1.1544711299394825	0.07355246231353085
C3D8T	regular	CONSTANT	DEFORM_B	2	2	rows_over_global	0.9264475376864697	1.1544711299394825	0.19751346425177896
C3D8T	regular	CONSTANT	DEFORM_B	2	2	integrated_density	1.0	1.1544711299394825	0.13380250569590246
C3D8T	regular	CONSTANT	DEFORM_B	2	2	rows_over_mean_f_current_density	0.9270947816851847	1.1544711299394825	0.19695282312188866
C3D8T	regular	CONSTANT	DEFORM_B	2	2	rows_over_center_current_density	0.9270947816851853	1.1544711299394825	0.1969528231218881
C3D8T	regular	CONSTANT	DEFORM_B	2	2	fixed_initial_mass_current_density	1.0	1.1544711299394825	0.13380250569590246
C3D8T	regular	CONSTANT	DEFORM_B	2	2	global_volume_ratio_current_density	1.209877666666667	1.1544711299394825	0.0479930032811553
C3D8T	regular	CONSTANT	DEFORM_B	2	2	local_volume_ratio_current_density	1.0479930032811557	1.1544711299394825	0.09223108650963696
C3D8T	regular	CONSTANT	DEFORM_B	2	2	global_over_local_current_density	1.154471129939482	1.1544711299394825	3.3306690738754696e-16
C3D8T	regular	CONSTANT	DEFORM_B	2	2	current_rows_over_initial_rows_current_density	1.120888185185185	1.1544711299394825	0.02908946259752543
C3D8T	regular	CONSTANT	DEFORM_B	2	2	rows_over_local_current_density	1.0695569356625494	1.1544711299394825	0.07355246231353085
C3D8T	regular	CONSTANT	DEFORM_B	2	2	rows_over_global_current_density	0.9264475376864697	1.1544711299394825	0.19751346425177896
C3D8T	regular	CONSTANT	DEFORM_B	2	2	integrated_density_current_density	1.0	1.1544711299394825	0.13380250569590246
C3D8T	regular	CONSTANT	RETURN	2	2	rows_over_mean_f	1.0000000000000007	1.0	6.661338147750939e-16
C3D8T	regular	CONSTANT	RETURN	2	2	rows_over_center	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	fixed_initial_mass	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	global_volume_ratio	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	local_volume_ratio	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	global_over_local	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	current_rows_over_initial_rows	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	rows_over_local	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	rows_over_global	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	integrated_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	rows_over_mean_f_current_density	1.0000000000000007	1.0	6.661338147750939e-16
C3D8T	regular	CONSTANT	RETURN	2	2	rows_over_center_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	fixed_initial_mass_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	global_volume_ratio_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	local_volume_ratio_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	global_over_local_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	current_rows_over_initial_rows_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	rows_over_local_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	rows_over_global_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	2	2	integrated_density_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	rows_over_mean_f	0.9999999999999991	1.0	8.881784197001252e-16
C3D8T	regular	CONSTANT	REFERENCE	3	3	rows_over_center	1.0	1.0	0.0
