id,x,y,z,u1,u2,u3
0,0,-2.099999983329326e-05,0,0,0,0
1,0.009999999776482582,-2.099999983329326e-05,0,-9.902157536826784e-06,4.688135863412896e-08,-5.265166529610733e-09
2,0.009999999776482582,0.01002100016921759,0,-9.956429465132266e-06,4.68815108358478e-08,5.265155027590627e-09
3,0,0.01002100016921759,0,0,0,0
4,0,-2.099999983329326e-05,0.009999999776482582,0,0,0
5,0.009999999776482582,-2.099999983329326e-05,0.009999999776482582,-9.902157536826779e-06,4.688135863412888e-08,5.265166529608748e-09
6,0.009999999776482582,0.01002100016921759,0.009999999776482582,-9.956429465132267e-06,4.688151083584959e-08,-5.265155027593039e-09
7,0,0.01002100016921759,0.009999999776482582,0,0,0
8,0.009999999776482582,5.015442372184476e-35,0,-1.000197929627737e-05,1.95303353353111e-06,5.226482527218878e-09
9,0.01999999955296516,0,0,-2e-05,2e-06,0
10,0.01999999955296516,0.009999999776482582,0,-2e-05,2e-06,0
11,0.009999999776482582,0.009999999776482582,0,-1.005602763635535e-05,1.953033381174656e-06,-5.226470964513308e-09
12,0.009999999776482582,0,0.009999999776482582,-1.000197929627738e-05,1.953033533531108e-06,-5.226482527223354e-09
13,0.01999999955296516,0,0.009999999776482582,-2e-05,2e-06,0
14,0.01999999955296516,0.009999999776482582,0.009999999776482582,-2e-05,2e-06,0
15,0.009999999776482582,0.009999999776482582,0.009999999776482582,-1.005602763635534e-05,1.953033381174654e-06,5.226470964514575e-09
