T,contact_pressure,disp_x,disp_y,id,nodal_area,penetration,x,y,z
300,1100000000,1.1e-05,0,1,1.5707963267949e-06,1.1e-05,0.001,0,0
300,1100000000,1.1e-05,5e-06,2,3.1415926535898e-06,1.1e-05,0.001,0.0005,0
300,1100000000,1.1e-05,1e-05,4,1.5707963267949e-06,1.1e-05,0.001,0.001,0
