metric,value
mode_count,12
axial_nodes,193
poisson_relaxation_modes,3
automatic_distortion_modes,0
independent_shear_modes,2
independent_axial_warping_modes,3
shear_free_distortion_modes,0
transverse_corrector_modes,0
refinement_iterations,1
algebraic_relative_residual,8.7998253196156018e-10
dof_count,1188
section_basis_size,12
recovered_local_dofs,79680
active_axial_dofs,1188
constraint_count,6
strain_energy,7.0082440251932189e-09
equilibrium_relative_residual,4.1245754936167122e-10
constraint_maximum_error,1.2607433865495264e-29
external_work,1.4016488050386724e-08
global_constraint_count,0
global_system_size,1188
local_system_size,79686
section_preprocessing_seconds,0.39695586999999999
assembly_seconds,2.456365709
condensation_seconds,3.2695204980000003
solve_and_refinement_seconds,0.23087586599999987
field_recovery_seconds,0.34814764500000006
width_line_count,0
seed_mode_count,12
selected_refinement_iteration,1
last_refinement_relative_residual,4.1245754936167122e-10
width_enrichment_modes,0
solid_displacement_dofs,79680
solid_elements,5120
modal_elements,32
solid_lower_interface,0.025000000000000001
solid_upper_interface,0.19375000000000001
