time,node,pressure,gap,shear,slip,normal_r,normal_z,tangential_r,tangential_z
0.10000000149011612,2,9999999.999995545,-9.99999999999699e-07,8.252335610915925e-39,5.2709167312927473e-51,-20.964894974949548,0.0,0.0,-1.7680674510920998e-44
0.10000000149011612,4,9999999.999996267,-9.99999999999699e-07,5.782411586588619e-11,7.733151147297972e-36,-52.412237437373847,0.0,0.0,-6.4849880651404674e-29
0.10000000149011612,6,9999999.99999699,-9.99999999999699e-07,1.1564823173174969e-10,5.157709756824032e-51,-31.447342462424277,0.0,0.0,-2.5951402407141048e-44
0.10000000149011612,12,9999999.999995545,-9.999999999992654e-07,4.1243472785576625e-24,7.077700043823522e-51,-83.859579899762508,0.0,0.0,-9.4965272373050921e-44
0.10000000149011612,15,9999999.99999699,-9.99999999999699e-07,1.1564823173175587e-10,2.168404344971009e-22,-125.78936984969832,1.3638110806662552e-14,-4.7316701968580794e-31,-4.3641954581319942e-15
0.20000000298023224,2,43333333.33332719,-4.999999999999796e-06,8.079710883899052e-23,1.390893157743173e-35,-104.99824050808347,0.0,0.0,-2.3366613487642339e-28
0.20000000298023224,4,9999999.999990974,-9.99999999999699e-07,5.7824115865874555e-11,1.6808863257668493e-35,-52.403759001646947,0.0,0.0,-1.4093561907943897e-28
0.20000000298023224,6,9999999.999995314,-9.99999999999699e-07,1.1564823173173816e-10,7.733151147297966e-36,-31.447342462418998,0.0,0.0,-3.8909928390836205e-29
0.20000000298023224,12,23333333.333327193,-9.999999999992654e-07,3.8608473135397525e-23,-1.3962634015954608e-35,-83.877543609682021,0.0,0.0,1.8738423097268104e-28
0.20000000298023224,15,9999999.999995312,-9.99999999999699e-07,1.1564823173174543e-10,2.168404344971009e-22,-125.78936984967719,1.3638110806660261e-14,-4.7316701968572859e-31,-4.3641954581312613e-15
0.30000001192092896,2,9999999.999992654,-9.99999999999699e-07,-4.389279308606164e-23,-4.462672641253192e-35,-20.956416539235505,0.0,0.0,1.4963460279736278e-28
0.30000001192092896,4,43333333.3333294,-4.999999999999796e-06,5.782411586592274e-11,5.048029221152863e-36,-262.49042297610703,0.0,0.0,-2.1200949207298507e-28
0.30000001192092896,6,9999999.999992654,-9.99999999999699e-07,1.1564823173173935e-10,1.3425609630725555e-36,-31.434708853434874,0.0,0.0,-6.752482078747631e-30
0.30000001192092896,12,23333333.333329506,-9.999999999992654e-07,1.2000704928569958e-23,4.1887902047863867e-35,-83.877543609696104,0.0,0.0,-5.6215269291813801e-28
0.30000001192092896,15,23333333.333330315,-9.99999999999699e-07,1.1564823173175847e-10,2.1684043449708693e-22,-125.81530829801855,1.3640923058864523e-14,-4.7326458928408005e-31,-4.3650953788363441e-15
0.4000000059604645,2,9999999.999994397,-9.99999999999699e-07,-3.508559316824696e-24,2.4327204650874816e-35,-20.964894974947502,0.0,0.0,-8.1602766486342784e-29
0.4000000059604645,4,9999999.999992654,-9.99999999999699e-07,5.782411586595688e-11,5.101731659675729e-35,-52.399603828394937,0.0,0.0,-4.2772594848925858e-28
0.4000000059604645,6,43333333.333329946,-4.999999999999796e-06,1.1564823173159833e-10,-2.4327204650874773e-35,-157.49218246802002,0.0,0.0,6.1301512860998646e-28
0.4000000059604645,12,9999999.999995891,-9.999999999992654e-07,1.7843530239884857e-23,-4.1887902047863835e-35,-83.859579899762508,0.0,0.0,5.6203229897859921e-28
0.4000000059604645,15,23333333.333330978,-9.99999999999699e-07,1.1564823173173644e-10,2.168404344971428e-22,-125.81530829801859,1.3640923058864528e-14,-4.7326458928420214e-31,-4.3650953788374698e-15
0.5,2,23333333.33332905,-9.99999999999699e-07,3.1419506698462005e-23,-6.17578043013373e-36,-20.983261464626477,0.0,0.0,2.0734082482179001e-29
0.5,4,16666666.66666193,-9.99999999999699e-07,5.7824115865866083e-11,-9.075712110370479e-36,-52.430603927045439,0.0,0.0,7.6135210722355505e-29
0.5,6,9999999.999998797,-9.99999999999699e-07,1.1564823173179131e-10,4.462672641253189e-35,-31.447342462430466,0.0,0.0,-2.2454271175553191e-28
0.5,12,23333333.333328545,-4.999999999999363e-06,2.909956135427405e-23,1.396263401595462e-35,-419.97884812421,0.0,0.0,-9.3824175212808058e-28
0.5,15,9999999.999997307,-9.99999999999699e-07,1.1564823173174835e-10,2.16840434497059e-22,-125.78936984969828,1.3638110806662547e-14,-4.7316701968571641e-31,-4.3641954581311501e-15
0.6000000238418579,2,9999999.999996187,-9.99999999999699e-07,1.4692987179861565e-23,9.666438934122399e-36,-20.964894974949537,0.0,0.0,-3.2424940325702113e-29
0.6000000238418579,4,16666666.666663341,-9.99999999999699e-07,8.673617379883578e-10,-6.766507253885607e-36,-52.438444420756092,0.0,0.0,5.6772018328883444e-29
0.6000000238418579,6,23333333.333329502,-9.99999999999699e-07,1.7347234759767116e-09,-1.6808863257668456e-35,-31.473549445803403,0.0,0.0,8.4645534218875764e-29
0.6000000238418579,12,9999999.999996189,-9.999999999992654e-07,1.5466302294591853e-24,7.216464717248928e-50,-83.859579899778765,0.0,0.0,-9.6827151928010866e-43
0.6000000238418579,15,23333333.333329998,-4.999999999999796e-06,1.7347234759767194e-09,6.505213034913168e-22,-629.95932051214868,6.8300326387676366e-14,-7.1089307760949415e-30,-6.5568313332170419e-14
0.699999988079071,2,16666666.666668877,-2.0000000000002655e-06,2666666.666667007,1e-06,-41.939563824580183,-1.9005442908798287e-15,3.0408708654077098e-16,-6.7103302119327948
0.699999988079071,4,0.0,9.99999999999699e-07,0.0,-6.766507253885607e-36,0.0,0.0,0.0,0.0
0.699999988079071,6,0.0,1.0000000000001327e-06,0.0,-1.6808863257668456e-35,0.0,0.0,0.0,0.0
0.699999988079071,12,6666666.666667551,1.0000000000001327e-06,1066666.6666668027,7.216464717248928e-50,0.0,0.0,0.0,0.0
0.699999988079071,15,0.0,1.0000000000001327e-06,0.0,6.505213034913168e-22,0.0,0.0,0.0,0.0
0.800000011920929,2,0.0,9.99999999999699e-07,0.0,1e-06,0.0,0.0,0.0,0.0
0.800000011920929,4,16666666.66666888,-2.0000000000002655e-06,4.2480384958871984e-23,9.163637105689349e-36,-104.84774599050994,0.0,0.0,-2.6723835670477778e-28
0.800000011920929,6,0.0,1.0000000000001327e-06,0.0,-1.6808863257668456e-35,0.0,0.0,0.0,0.0
0.800000011920929,12,6666666.666667553,1.0000000000001327e-06,1.6992153983548794e-23,7.216464717248928e-50,0.0,0.0,0.0,0.0
0.800000011920929,15,6666666.666667553,1.0000000000001327e-06,1.6992153983548794e-23,6.505213034913168e-22,0.0,0.0,0.0,0.0
0.8999999761581421,2,0.0,9.99999999999699e-07,0.0,1e-06,0.0,0.0,0.0,0.0
0.8999999761581421,4,0.0,9.99999999999699e-07,0.0,9.163637105689349e-36,0.0,0.0,0.0,0.0
0.8999999761581421,6,16666666.666665265,-1.9999999999998318e-06,1.7347234759766503e-09,6.505213034912851e-22,-62.908182165916003,1.364103755428e-14,-1.4198056849254373e-30,-6.5476980260543598e-15
0.8999999761581421,12,0.0,1.0000000000001327e-06,0.0,7.216464717248928e-50,0.0,0.0,0.0,0.0
0.8999999761581421,15,6666666.666666106,1.0000000000001327e-06,6.938893903906602e-10,6.505213034913168e-22,0.0,0.0,0.0,0.0
1.0,2,6666666.666666106,9.99999999999699e-07,-2.5230976796063595e-39,1e-06,0.0,0.0,0.0,0.0
1.0,4,3333333.333333053,9.99999999999699e-07,-1.2615488398031797e-39,9.163637105689349e-36,0.0,0.0,0.0,0.0
1.0,6,0.0,1.0000000000001327e-06,0.0,6.505213034912851e-22,0.0,0.0,0.0,0.0
1.0,12,6666666.666666106,-1.9999999999998318e-06,-2.5230976796063595e-39,6.979924309785811e-50,-167.75508425993206,0.0,0.0,6.3489369575765926e-44
1.0,15,0.0,1.0000000000001327e-06,0.0,6.505213034913168e-22,0.0,0.0,0.0,0.0
1.100000023841858,2,0.0,9.99999999999699e-07,0.0,1e-06,0.0,0.0,0.0,0.0
1.100000023841858,4,3333333.3333330536,9.99999999999699e-07,1.1187855317587953e-52,9.163637105689349e-36,0.0,0.0,0.0,0.0
1.100000023841858,6,6666666.666666107,1.0000000000001327e-06,2.2375710635175906e-52,6.505213034912851e-22,0.0,0.0,0.0,0.0
1.100000023841858,12,0.0,1.0000000000001327e-06,0.0,6.979924309785811e-50,0.0,0.0,0.0,0.0
1.100000023841858,15,6666666.666666107,-1.9999999999998318e-06,2.2375710635175906e-52,6.505213034913168e-22,-251.63061462699406,0.0,0.0,-8.4456207297683299e-57
1.2000000476837158,2,0.0,1.0000000000001327e-06,0.0,1e-06,0.0,0.0,0.0,0.0
1.2000000476837158,4,0.0,1.0000000000001327e-06,0.0,9.163637105689349e-36,0.0,0.0,0.0,0.0
1.2000000476837158,6,0.0,1.0000000000001327e-06,0.0,6.505213034912851e-22,0.0,0.0,0.0,0.0
1.2000000476837158,12,0.0,1.0000000000005664e-06,0.0,6.979924309785811e-50,0.0,0.0,0.0,0.0
1.2000000476837158,15,0.0,1.0000000000001327e-06,0.0,6.505213034913168e-22,0.0,0.0,0.0,0.0
1.2999999523162842,2,14166666.666663487,-9.99999999999699e-07,-31999.999999996355,1.0099999999999999e-06,-20.966778251143555,-8.0975925955320408e-16,1.2956148152851099e-18,-0.033546845201829253
1.2999999523162842,4,19166666.66666054,-1.4999999999993317e-06,-35999.99999997598,-2e-08,-78.668697141440376,0.0,0.0,0.25173983085260793
1.2999999523162842,6,24166666.666666258,-1.9999999999998318e-06,167999.99999998548,3.0000000000000004e-08,-62.93649762147021,-1.364717748996536e-14,6.5506451951831984e-17,-0.30209518858304896
1.2999999523162842,12,16666666.666661652,-2.4999999999994645e-06,-63999.99999998303,-4.000000000000019e-08,-209.77410733811902,-1.1371877145359803e-14,-7.2780013730302729e-17,1.3425542869639615
1.2999999523162842,15,21666666.66666376,-2.9999999999999645e-06,96000.00000000162,5.0000000000000216e-08,-377.71100608634987,-4.0951509337050608e-14,3.2761207469640041e-16,-3.0216880486907578
1.399999976158142,2,14166666.666662391,-9.99999999999699e-07,2833333.333332479,3e-06,-20.970343286847374,-2.957468184585595e-15,5.9149363691711897e-16,-4.194068657369475
1.399999976158142,4,19166666.666668057,-1.500000000000199e-06,3833333.3333336124,2e-06,-78.65799969368824,-8.528117415126093e-15,1.7056234830252187e-15,-15.731599938737649
1.399999976158142,6,24166666.66666505,-1.9999999999998318e-06,4833333.333333011,2e-06,-62.94195218546141,0.0,0.0,-12.588390437092283
1.399999976158142,12,16666666.666665226,-2.499999999999898e-06,3333333.3333330457,2e-06,-209.78039996940507,0.0,0.0,-41.956079993881012
1.399999976158142,15,21666666.666666552,-2.9999999999999645e-06,4333333.333333312,2.0000000000000003e-06,-377.69841730952197,4.0950144459132039e-14,-8.1900288918264075e-15,-75.539683461904403
