increment,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,hfl1_w_m2,hfl2_w_m2,hfl3_w_m2,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,1000,1,1,0.001296514909727279,0.0001065640461836996,0.002819188449191985,660,11937.71171890465,2374.55492917393,-0.0562923105467803,-2500119.02947179,-6557407.565461447,-8071720.797706395,579743.7109804193,10627.89225141098,-565.7029869277651,0.0005795832127711629,0.0005532108233845033,0.0005433677925211417,7.536627578427801e-06,1.381541909057171e-07,-7.355389524574264e-09,9.443097397392815e-06,-1.692927808653996e-05,-2.677231409613213e-05,7.536668242745451e-06,1.381625992683428e-07,-7.354138830060947e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.262086738730867e-09
1,1000,1,2,0.002149101298315264,0.0001766404137032535,0.002819188310291202,654.0274630611091,11937.71208019738,2374.550533202146,-0.2023301244053286,-3025208.464259609,-5472896.225670922,-8631142.702709103,349752.9646227218,24181.66290802422,548.2767798107284,0.0005761701274658449,0.0005602601513871897,0.0005397315498242264,4.546773896558457e-06,3.143499966295069e-07,7.12600083536272e-09,6.030016071271994e-06,-9.879954377901541e-06,-3.040855647864972e-05,4.546788540095384e-06,3.143616178043149e-07,7.12759813753947e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.092010595316874e-09
1,1000,1,3,0.001238603883654765,0.0003977024346176882,0.002819188449191967,660,11937.70923064927,2374.554434229562,-0.05629177454596856,-2684356.438325033,-6373169.082847726,-8071721.871466821,1024537.664549298,9602.385891382206,4589.758348358643,0.0005783856532003149,0.0005544083899350569,0.000543367785541666,1.331902822462058e-05,1.248227696491168e-07,5.966479626275261e-08,8.245554239846658e-06,-1.573172794955085e-05,-2.677232107557498e-05,1.331898963914087e-05,1.248310165879687e-07,5.966685852866237e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.262086738730867e-09
1,1000,1,4,0.002053108062624281,0.000659230998610536,0.002819188310290895,654.0274659045783,11937.71057907709,2374.550234610936,-0.2023281248605855,-3136356.238996372,-5361747.792376599,-8631143.361266663,618090.76236827,22550.76554115005,8747.308370182267,0.0005754476609283878,0.0005609826222054559,0.0005397315455438821,8.035194245910684e-06,2.931486041780843e-07,1.137120372363122e-07,5.307555535483035e-06,-9.157489561488442e-06,-3.040856075927387e-05,8.035179910787509e-06,2.931599520349507e-07,1.137150088123695e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.092010595316874e-09
1,1000,1,5,0.001296517208571734,0.0001065642351321783,0.01052135452849593,660,11936.41365356858,2374.296742084784,-0.05629191677137868,-2427337.959373414,-6457630.440397842,-8244278.992868432,575886.4205600221,-23060.20382154836,-7266.692736237049,0.0005800562896095966,0.0005538593748179834,0.0005422461642501223,7.486483316734849e-06,-2.997999675073328e-07,-9.446929171440389e-08,9.916174353032342e-06,-1.628072677362644e-05,-2.789394236468528e-05,7.486523467280287e-06,-2.997826496801286e-07,-9.446700557108164e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.262086738730867e-09
1,1000,1,6,0.002149104954298383,0.000176640714198882,0.01052135401011115,654.0285714066492,11936.41401336272,2374.292363556577,-0.2023294981912187,-2948916.868660559,-5380318.153720349,-8800012.370258618,347425.9481888149,-9506.435018940134,-6152.832847402612,0.0005766660227694765,0.0005608619089251005,0.0005386338969825732,4.516522848706857e-06,-1.236042832715888e-07,-7.998974295802405e-08,6.525911442665654e-06,-9.278196910222978e-06,-3.150620931772173e-05,4.516537326454593e-06,-1.235836552462218e-07,-7.998682701623396e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.092010595316874e-09
1,1000,1,7,0.001238606079817731,0.0003977031397830107,0.01052135452849586,660,11936.41117519367,2374.296249105731,-0.05629138079578411,-2610349.532015981,-6274617.795129921,-8244280.065493623,1017720.937905672,-24085.77662485967,-2111.248884040656,0.0005788666981904397,0.0005550489732088871,0.0005422461572781463,1.323041024687877e-05,-3.131319705744673e-07,-2.745075066107281e-08,8.726599130855412e-06,-1.50911445793852e-05,-2.789394933674927e-05,1.323037219277373e-05,-3.131150961231757e-07,-2.744623549252853e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.262086738730867e-09
1,1000,1,8,0.002053111555307136,0.0006592321200754891,0.01052135401011001,654.028574230596,11936.41251820294,2374.292066150516,-0.202327498636329,-3059325.118450071,-5269909.246058168,-8800013.02813145,613978.3712669426,-11137.371664109,2046.184144340672,0.0005759483632226468,0.000561579572747839,0.000538633892706012,7.981732946813543e-06,-1.448060053502037e-07,2.659519373010526e-08,5.808257819034076e-06,-8.56053901041856e-06,-3.15062135938949e-05,7.981718826470255e-06,-1.44785831633417e-07,2.660039387642873e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.092010595316874e-09
1,1000,2,1,0.002773214406879661,0.0002279379480731679,0.002819188224744932,654.0274630611091,6248.090739189536,1242.901592511143,-0.311126048350112,-1502401.718482327,6529002.370436889,4271733.942172397,-1147599.880357115,35494.27221553103,1934.826558883453,0.0005009405756241575,0.0005531446595718204,0.0005384724367063017,-1.491896117053671e-05,4.614385534750914e-07,2.515549494192044e-08,-2.371311306132557e-05,2.849101351664934e-05,1.381876873293014e-05,-1.491879844464249e-05,4.614255388019035e-07,2.515274526548489e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69933133999683e-09
1,1000,2,2,0.003625736740559389,0.0002980090507552335,0.002819188129928959,650.9016177573235,6248.077545578503,1243.06211278653,-0.4708421803664097,-881651.9136107822,5261292.439136974,4918694.068600712,-877780.8408302722,42151.6813136978,2482.000328384949,0.0005049754401009375,0.000544904553982035,0.0005426776778194641,-1.141124629552822e-05,5.479865278870938e-07,3.226875882365828e-08,-1.967823932966044e-05,2.025089896319997e-05,1.802400955471428e-05,-1.141115093079354e-05,5.479718570780714e-07,3.226600426900434e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52918581439898e-09
