time,field,node,component,value
1.0,CNORMF   SECONDARY_ONE/PRIMARY_ONE,2,0,-1570.7963267949601
1.0,CNORMF   SECONDARY_ONE/PRIMARY_ONE,2,1,0.0
1.0,CNORMF   SECONDARY_ONE/PRIMARY_ONE,3,0,-1570.7963267949597
1.0,CNORMF   SECONDARY_ONE/PRIMARY_ONE,3,1,0.0
1.0,CNORMF   SECONDARY_ONE/PRIMARY_ONE,5,0,1570.7963267949601
1.0,CNORMF   SECONDARY_ONE/PRIMARY_ONE,5,1,0.0
1.0,CNORMF   SECONDARY_ONE/PRIMARY_ONE,8,0,1570.7963267949597
1.0,CNORMF   SECONDARY_ONE/PRIMARY_ONE,8,1,0.0
1.0,CNORMF   SECONDARY_TWO/PRIMARY_TWO,10,0,-3141.5926535898498
1.0,CNORMF   SECONDARY_TWO/PRIMARY_TWO,10,1,0.0
1.0,CNORMF   SECONDARY_TWO/PRIMARY_TWO,11,0,-3141.5926535897142
1.0,CNORMF   SECONDARY_TWO/PRIMARY_TWO,11,1,0.0
1.0,CNORMF   SECONDARY_TWO/PRIMARY_TWO,13,0,3141.5926535898498
1.0,CNORMF   SECONDARY_TWO/PRIMARY_TWO,13,1,0.0
1.0,CNORMF   SECONDARY_TWO/PRIMARY_TWO,16,0,3141.5926535897142
1.0,CNORMF   SECONDARY_TWO/PRIMARY_TWO,16,1,0.0
1.0,COPEN    SECONDARY_ONE/PRIMARY_ONE,2,0,-1.0000000000000412e-05
1.0,COPEN    SECONDARY_ONE/PRIMARY_ONE,3,0,-1.0000000000000412e-05
1.0,COPEN    SECONDARY_TWO/PRIMARY_TWO,10,0,-1.0000000000000409e-05
1.0,COPEN    SECONDARY_TWO/PRIMARY_TWO,11,0,-9.999999999999545e-06
1.0,CPRESS   SECONDARY_ONE/PRIMARY_ONE,2,0,10000000.000000412
1.0,CPRESS   SECONDARY_ONE/PRIMARY_ONE,3,0,10000000.000000412
1.0,CPRESS   SECONDARY_ONE/PRIMARY_ONE,5,0,10000000.000000412
1.0,CPRESS   SECONDARY_ONE/PRIMARY_ONE,8,0,10000000.000000412
1.0,CPRESS   SECONDARY_TWO/PRIMARY_TWO,10,0,10000000.000000192
1.0,CPRESS   SECONDARY_TWO/PRIMARY_TWO,11,0,9999999.999999762
1.0,CPRESS   SECONDARY_TWO/PRIMARY_TWO,13,0,10000000.00000019
1.0,CPRESS   SECONDARY_TWO/PRIMARY_TWO,16,0,9999999.99999976
1.0,CSHEAR1  SECONDARY_ONE/PRIMARY_ONE,2,0,5.729151339024081e-38
1.0,CSHEAR1  SECONDARY_ONE/PRIMARY_ONE,3,0,2.165741244587001e-39
1.0,CSHEAR1  SECONDARY_ONE/PRIMARY_ONE,5,0,5.729151339024081e-38
